hydroxyzine
word,frequency,total_distance,average_distance
ergocalciferol,2,4,2.0
claritin,2,2,1.0
times,2,14,7.0
m,2,18,9.0
7,2,16,8.0
osteoporosis,2,12,6.0
dyslipidemia,2,4,2.0
hypertension,2,4,2.0
syndrome,2,12,6.0
sweet,2,14,7.0
,0,0,



protonix
word,frequency,total_distance,average_distance
.,5,26,5.2
day,2,8,4.0
ergocalciferol,1,9,9.0
800,1,8,8.0
international,1,7,7.0
units,1,6,6.0
6,1,2,2.0
40,1,1,1.0
mg,1,2,2.0
7,1,6,6.0
iron,1,8,8.0
sulfate,1,9,9.0
,0,0,



40
word,frequency,total_distance,average_distance
.,16,64,4.0
day,6,22,3.6666666666666665
mg,6,22,3.6666666666666665
units,4,30,7.5
iron,2,14,7.0
about,2,20,10.0
valsartan,2,14,7.0
13,2,10,5.0
zocor,2,2,1.0
12,2,6,3.0
daily,2,10,5.0
insulin,2,12,6.0
30,2,18,9.0
80,2,16,8.0
1.2,2,18,9.0
sulfate,2,16,8.0
ergocalciferol,2,20,10.0
7,2,10,5.0
protonix,2,2,1.0
6,2,6,3.0
international,2,16,8.0
800,2,18,9.0
,0,0,



fluoxetine
word,frequency,total_distance,average_distance
.,15,83,5.533333333333333
i,6,24,4.0
he,4,28,7.0
mg,4,12,3.0
20,3,3,1.0
him,2,2,1.0
however,2,8,4.0
discussed,2,16,8.0
has,2,16,8.0
no,2,14,7.0
insurance,2,12,6.0
think,2,2,1.0
",",2,6,3.0
tablet,2,8,4.0
very,2,4,2.0
affordable,2,6,3.0
can,2,12,6.0
get,2,14,7.0
it,2,16,8.0
daily,2,10,5.0
for,2,18,9.0
one,2,6,3.0
gave,2,4,2.0
treated,2,10,5.0
be,2,12,6.0
needs,2,16,8.0
depression,2,18,9.0
his,2,20,10.0
day,2,8,4.0
5,2,13,6.5
3,1,10,10.0
800,1,9,9.0
ergocalciferol,1,8,8.0
4,1,2,2.0
claritin,1,8,8.0
,0,0,



20
word,frequency,total_distance,average_distance
.,20,102,5.1
mg,9,33,3.6666666666666665
day,8,32,4.0
5,4,26,6.5
fluoxetine,3,3,1.0
child,2,12,6.0
17,2,6,3.0
75,2,18,9.0
score,2,16,8.0
pugh,2,14,7.0
18.,2,10,5.0
lasix,2,2,1.0
81,2,16,8.0
aspirin,2,18,9.0
international,2,18,9.0
800,2,16,8.0
ergocalciferol,2,14,7.0
4,2,6,3.0
claritin,2,18,9.0
i,2,10,5.0
him,1,2,2.0
discussed,1,7,7.0
daily,1,4,4.0
tablet,1,3,3.0
one,1,2,2.0
side,1,9,9.0
gave,1,3,3.0
treated,1,6,6.0
be,1,7,7.0
needs,1,9,9.0
depression,1,10,10.0
,0,0,



ergocalciferol
word,frequency,total_distance,average_distance
.,5,27,5.4
day,2,9,4.5
4,1,10,10.0
fluoxetine,1,8,8.0
20,1,7,7.0
mg,1,6,6.0
5,1,2,2.0
800,1,1,1.0
international,1,2,2.0
units,1,3,3.0
6,1,7,7.0
protonix,1,9,9.0
,0,0,



actonel
word,frequency,total_distance,average_distance
.,5,28,5.6
iron,1,9,9.0
sulfate,1,8,8.0
1.2,1,7,7.0
cc,1,6,6.0
every,1,5,5.0
day,1,4,4.0
8,1,2,2.0
35,1,1,1.0
mg,1,2,2.0
once,1,3,3.0
week,1,5,5.0
9,1,7,7.0
zantac,1,9,9.0
,0,0,



35
word,frequency,total_distance,average_distance
.,4,18,4.5
iron,1,10,10.0
sulfate,1,9,9.0
1.2,1,8,8.0
cc,1,7,7.0
every,1,6,6.0
day,1,5,5.0
8,1,3,3.0
actonel,1,1,1.0
mg,1,1,1.0
once,1,2,2.0
week,1,4,4.0
9,1,6,6.0
zantac,1,8,8.0
150,1,9,9.0
,0,0,



zantac
word,frequency,total_distance,average_distance
.,5,24,4.8
",",4,16,4.0
mg,2,9,4.5
bid,2,8,4.0
qd,2,8,4.0
meds,1,10,10.0
:,1,9,9.0
premarin,1,8,8.0
10mg,1,5,5.0
vasotec,1,4,4.0
150mg,1,1,1.0
75mg,1,3,3.0
cytoxan,1,4,4.0
20mg,1,7,7.0
prednisone,1,8,8.0
0.625,1,9,9.0
500,1,9,9.0
carbonate,1,8,8.0
calcium,1,7,7.0
10,1,5,5.0
daily,1,3,3.0
150,1,1,1.0
9,1,2,2.0
week,1,4,4.0
once,1,6,6.0
35,1,8,8.0
actonel,1,9,9.0
,0,0,



150
word,frequency,total_distance,average_distance
.,6,24,4.0
mg,3,18,6.0
her,3,18,6.0
10,2,10,5.0
calcium,1,6,6.0
500,1,8,8.0
ratio,1,4,4.0
insulin/carbohydrate,1,3,3.0
bedtime,1,2,2.0
120,1,4,4.0
pre-meal,1,6,6.0
target,1,7,7.0
hour,1,10,10.0
correction,1,9,9.0
carbonate,1,7,7.0
actonel,1,10,10.0
daily,1,2,2.0
zantac,1,1,1.0
9,1,3,3.0
week,1,5,5.0
once,1,7,7.0
35,1,9,9.0
,0,0,



zocor
word,frequency,total_distance,average_distance
.,4,16,4.0
pump,1,10,10.0
about,1,9,9.0
30,1,8,8.0
units,1,7,7.0
insulin,1,5,5.0
daily,1,4,4.0
12,1,2,2.0
40,1,1,1.0
mg,1,2,2.0
day,1,4,4.0
13,1,6,6.0
valsartan,1,8,8.0
80,1,9,9.0
,0,0,



valsartan
word,frequency,total_distance,average_distance
.,5,23,4.6
mg,3,17,5.666666666666667
12,1,10,10.0
zocor,1,8,8.0
40,1,7,7.0
day,1,4,4.0
13,1,2,2.0
80,1,1,1.0
daily,1,3,3.0
14,1,5,5.0
amlodipine,1,7,7.0
5,1,8,8.0
,0,0,



80
word,frequency,total_distance,average_distance
.,5,24,4.8
mg,3,16,5.333333333333333
zocor,1,9,9.0
40,1,8,8.0
day,1,5,5.0
13,1,3,3.0
valsartan,1,1,1.0
daily,1,2,2.0
14,1,4,4.0
amlodipine,1,6,6.0
5,1,7,7.0
,0,0,



amlodipine
word,frequency,total_distance,average_distance
.,6,34,5.666666666666667
mg,2,7,3.5
13,1,9,9.0
valsartan,1,7,7.0
80,1,6,6.0
daily,1,4,4.0
14,1,2,2.0
5,1,1,1.0
day,1,4,4.0
15,1,6,6.0
plavix,1,8,8.0
75,1,9,9.0
,0,0,



plavix
word,frequency,total_distance,average_distance
.,5,25,5.0
day,2,8,4.0
14,1,10,10.0
amlodipine,1,8,8.0
5,1,7,7.0
mg,1,6,6.0
15,1,2,2.0
75,1,1,1.0
mgs,1,2,2.0
16,1,6,6.0
aspirin,1,8,8.0
81,1,9,9.0
,0,0,



75
word,frequency,total_distance,average_distance
.,7,35,5.0
day,4,17,4.25
mg,3,24,8.0
81,1,8,8.0
20,1,9,9.0
review,1,7,7.0
child-pugh,1,5,5.0
micrograms,1,1,1.0
score,1,1,1.0
pugh,1,2,2.0
child,1,3,3.0
18.,1,4,4.0
systems,1,9,9.0
lasix,1,10,10.0
aspirin,1,7,7.0
16,1,5,5.0
mgs,1,1,1.0
plavix,1,1,1.0
15,1,3,3.0
5,1,8,8.0
amlodipine,1,9,9.0
,0,0,



aspirin
word,frequency,total_distance,average_distance
.,5,25,5.0
day,2,8,4.0
15,1,10,10.0
plavix,1,8,8.0
75,1,7,7.0
mgs,1,6,6.0
16,1,2,2.0
81,1,1,1.0
mg,1,2,2.0
17,1,6,6.0
lasix,1,8,8.0
20,1,9,9.0
,0,0,



81
word,frequency,total_distance,average_distance
.,5,26,5.2
day,2,8,4.0
mg,2,10,5.0
plavix,1,9,9.0
75,1,8,8.0
mgs,1,7,7.0
16,1,3,3.0
aspirin,1,1,1.0
17,1,5,5.0
lasix,1,7,7.0
20,1,8,8.0
,0,0,



lasix
word,frequency,total_distance,average_distance
.,4,18,4.5
mg,2,8,4.0
day,2,8,4.0
16,1,10,10.0
aspirin,1,8,8.0
81,1,7,7.0
17,1,2,2.0
20,1,1,1.0
18.,1,6,6.0
child,1,7,7.0
pugh,1,8,8.0
score,1,9,9.0
,0,0,



